,Outcome,HomeTeam,AwayTeam,HomeScores,AwayScores,Date,Month,Year,HomeHalfScores,HomeScrums,HomePenalties,AwayHalfScores,AwayScrums,AwayPenalties
1,win,Bulldogs,St George Illawarra,46,28,11/03/2015,3,2005,28,6,7,0,5,9
2,win,Cronulla,Penrith,20,14,12/03/2015,3,2005,6,8,8,8,8,5
3,win,Sydney,South Sydney,24,12,12/03/2015,3,2005,0,10,5,12,9,6
4,loose,Wests Tigers,Parramatta,12,28,12/03/2015,3,2005,12,9,7,10,11,6
5,win,Brisbane,North Queensland,29,16,13/03/2015,3,2005,18,10,7,10,7,4
6,win,Melbourne,Newcastle,48,10,13/03/2015,3,2005,22,9,6,0,7,5
7,loose,Warriors,Manly Warringah,20,26,13/03/2015,3,2005,2,9,10,12,11,6
8,win,North Queensland,Bulldogs,24,12,18/03/2015,3,2005,12,7,8,6,5,7
9,loose,Brisbane,Warriors,12,24,19/03/2015,3,2005,4,5,9,10,9,12
10,win,Canberra,Newcastle,39,14,19/03/2015,3,2005,14,8,5,6,6,5
11,loose,St George Illawarra,Melbourne,12,46,19/03/2015,3,2005,0,7,8,24,5,6
12,win,Manly Warringah,Cronulla,46,20,20/03/2015,3,2005,24,9,13,16,10,9
13,loose,Penrith,Sydney,20,28,20/03/2015,3,2005,10,9,5,18,10,2
14,win,South Sydney,Parramatta,49,26,20/03/2015,3,2005,28,4,8,16,6,6
15,loose,Sydney,Brisbane,22,40,25/03/2015,3,2005,6,5,8,14,2,2
16,loose,Parramatta,Cronulla,10,18,26/03/2015,3,2005,6,7,10,12,6,7
17,win,Penrith,St George Illawarra,18,8,26/03/2015,3,2005,8,6,14,8,9,10
18,loose,Bulldogs,Wests Tigers,36,37,27/03/2015,3,2005,18,5,8,12,3,9
19,win,Manly Warringah,Melbourne,25,18,27/03/2015,3,2005,18,7,10,12,6,6
20,loose,Warriors,North Queensland,22,32,27/03/2015,3,2005,10,5,7,20,7,11
21,loose,South Sydney,Canberra,18,25,28/03/2015,3,2005,12,6,10,10,5,10
22,win,Parramatta,Penrith,26,16,1/04/2015,4,2005,18,5,10,6,5,9
23,win,Canberra,St George Illawarra,42,22,2/04/2015,4,2005,18,5,10,6,7,12
24,win,Melbourne,Brisbane,50,4,2/04/2015,4,2005,24,8,5,4,4,7
25,win,North Queensland,Newcastle,52,18,2/04/2015,4,2005,30,9,5,12,5,5
