"","tr_raw","Outcome","HomeTeam","AwayTeam","date","month","year","GamesPlayedHome","GamesWonHome","GamesLostHome","GamesDrawnHome","LongestWinningStreakHome","LongestLosingStreakHome","TeamsPlayedHome","TeamsBeatenHome","TeamsBeatenByHome","TeamsDrawnWithHome","GroundsPlayedAtHome","LargestPointsForHome","LargestPointsAgainstHome","LargestWinningMarginHome","LargestLosingMarginHome","TotalPointsForHome","AvgPointsForHome","TotalPointsAgainstHome","AvgPointsAgainstHome","TotalPointsDifferenceHome","AvgPointsDifferenceHome","RankHome","RankScoreHome","GamesPlayedAway","GamesWonAway","GamesLostAway","GamesDrawnAway","LongestWinningStreakAway","LongestLosingStreakAway","TeamsPlayedAway","TeamsBeatenAway","TeamsBeatenByAway","TeamsDrawnWithAway","GroundsPlayedAtAway","LargestPointsForAway","LargestPointsAgainstAway","LargestWinningMarginAway","LargestLosingMarginAway","TotalPointsForAway","AvgPointsForAway","TotalPointsAgainstAway","AvgPointsAgainstAway","TotalPointsDifferenceAway","AvgPointsDifferenceAway","RankAway","RankScoreAway"
"1143","win","loose","Lions","Hurricanes",2015-02-13,"2","2015",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"1518","win","win","Brumbies","Reds",2015-02-13,"2","2015",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"2349","win","loose","Crusaders","Melbourne Rebels",2015-02-13,"2","2015",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,76,22,54,0,2,12,15,11,15,0,0,42,66,21,-57,1579,20.78,2330,30.66,-751,-9.88,3,36
"127","win","loose","Blues","Chiefs",2015-02-14,"2","2015",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"385","win","loose","Bulls","Stormers",2015-02-14,"2","2015",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"2208","win","loose","Sharks","Cheetahs",2015-02-14,"2","2015",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"1661","win","loose","Waratahs","Western Force",2015-02-15,"2","2015",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"386","win","loose","Bulls","Hurricanes",2015-02-20,"2","2015",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"644","win","win","Chiefs","Brumbies",2015-02-20,"2","2015",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"1792","win","loose","Melbourne Rebels","Waratahs",2015-02-20,"2","2015",76,22,54,0,2,12,15,11,15,0,0,42,66,21,-57,1579,20.78,2330,30.66,-751,-9.88,3,36,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"253","win","win","Stormers","Blues",2015-02-21,"2","2015",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"895","win","loose","Highlanders","Crusaders",2015-02-21,"2","2015",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"1263","win","win","Sharks","Lions",2015-02-21,"2","2015",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"1394","win","win","Reds","Western Force",2015-02-21,"2","2015",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"254","win","win","Cheetahs","Blues",2015-02-27,"2","2015",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"896","win","win","Highlanders","Reds",2015-02-27,"2","2015",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"2742","win","loose","Western Force","Hurricanes",2015-02-27,"2","2015",115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"387","win","win","Bulls","Sharks",2015-02-28,"2","2015",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"645","win","win","Chiefs","Crusaders",2015-02-28,"2","2015",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"1144","win","loose","Lions","Stormers",2015-02-28,"2","2015",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"2057","win","loose","Melbourne Rebels","Brumbies",2015-02-28,"2","2015",76,22,54,0,2,12,15,11,15,0,0,42,66,21,-57,1579,20.78,2330,30.66,-751,-9.88,3,36,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"646","win","loose","Chiefs","Highlanders",2015-03-06,"3","2015",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53
"1928","win","win","Brumbies","Western Force",2015-03-06,"3","2015",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"128","win","loose","Blues","Lions",2015-03-07,"3","2015",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"515","win","loose","Cheetahs","Bulls",2015-03-07,"3","2015",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"1395","win","loose","Reds","Waratahs",2015-03-07,"3","2015",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"3080","win","win","Stormers","Sharks",2015-03-07,"3","2015",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"255","win","win","Hurricanes","Blues",2015-03-13,"3","2015",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"2816","win","loose","Western Force","Melbourne Rebels",2015-03-13,"3","2015",115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19,76,22,54,0,2,12,15,11,15,0,0,42,66,21,-57,1579,20.78,2330,30.66,-751,-9.88,3,36
"772","win","loose","Stormers","Chiefs",2015-03-14,"3","2015",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"897","win","win","Highlanders","Waratahs",2015-03-14,"3","2015",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"1265","win","win","Crusaders","Lions",2015-03-14,"3","2015",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"1396","win","loose","Reds","Brumbies",2015-03-14,"3","2015",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"2134","win","loose","Cheetahs","Sharks",2015-03-14,"3","2015",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"898","win","loose","Highlanders","Hurricanes",2015-03-20,"3","2015",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"1266","win","loose","Melbourne Rebels","Lions",2015-03-20,"3","2015",76,22,54,0,2,12,15,11,15,0,0,42,66,21,-57,1579,20.78,2330,30.66,-751,-9.88,3,36,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"388","win","win","Bulls","Western Force",2015-03-21,"3","2015",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"773","win","win","Sharks","Chiefs",2015-03-21,"3","2015",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"2209","win","win","Crusaders","Cheetahs",2015-03-21,"3","2015",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"1662","win","win","Waratahs","Brumbies",2015-03-22,"3","2015",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"1267","win","loose","Reds","Lions",2015-03-27,"3","2015",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"2611","win","win","Hurricanes","Melbourne Rebels",2015-03-27,"3","2015",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,76,22,54,0,2,12,15,11,15,0,0,42,66,21,-57,1579,20.78,2330,30.66,-751,-9.88,3,36
"256","win","win","Waratahs","Blues",2015-03-28,"3","2015",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"389","win","win","Bulls","Crusaders",2015-03-28,"3","2015",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"647","win","win","Chiefs","Cheetahs",2015-03-28,"3","2015",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"899","win","win","Highlanders","Stormers",2015-03-28,"3","2015",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"2946","win","win","Sharks","Western Force",2015-03-28,"3","2015",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"1520","win","win","Melbourne Rebels","Reds",2015-04-03,"4","2015",76,22,54,0,2,12,15,11,15,0,0,42,66,21,-57,1579,20.78,2330,30.66,-751,-9.88,3,36,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"2612","win","win","Hurricanes","Stormers",2015-04-03,"4","2015",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"257","win","win","Chiefs","Blues",2015-04-04,"4","2015",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"516","win","win","Lions","Bulls",2015-04-04,"4","2015",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
