"","loose","win","Outcome","HomeTeam","AwayTeam","HomeScores","AwayScores","Date","Month","Year","HomeHalfScores","HomeScrums","HomePenalties","AwayHalfScores","AwayScrums","AwayPenalties"
"1880",0.479,0.521,"loose","Penrith","Melbourne",0,0,2015-08-25,"8","2014",0,0,0,0,0,0
"1881",0.418,0.582,"loose","Canterbury","South Sydney",0,0,2015-08-28,"8","2014",0,0,0,0,0,0
"1882",0.409,0.591,"win","Brisbane","St George Illawarra",0,0,2015-08-29,"8","2014",0,0,0,0,0,0
"1883",0.461,0.539,"win","Canberra","Wests Tigers",0,0,2015-08-30,"8","2014",0,0,0,0,0,0
"1884",0.394,0.606,"win","Newcastle","Parramatta",0,0,2015-08-30,"8","2014",0,0,0,0,0,0
"1885",0.464,0.536,"win","Sydney","Melbourne",0,0,2015-08-30,"8","2014",0,0,0,0,0,0
"1886",0.447,0.553,"win","Manly Warringah","Penrith",0,0,2015-08-31,"8","2014",0,0,0,0,0,0
"1887",0.428,0.572,"win","Warriors","Gold Coast Titans",0,0,2015-08-31,"8","2014",0,0,0,0,0,0
"1888",0.429,0.571,"win","North Queensland","Cronulla",0,0,2015-09-01,"9","2014",0,0,0,0,0,0
"1889",0.402,0.598,"win","Sydney","South Sydney",0,0,2015-09-04,"9","2014",0,0,0,0,0,0
"1890",0.43,0.57,"win","Melbourne","Brisbane",0,0,2015-09-05,"9","2014",0,0,0,0,0,0
"1891",0.397,0.603,"win","Canberra","Parramatta",0,0,2015-09-06,"9","2014",0,0,0,0,0,0
"1892",0.482,0.518,"win","North Queensland","Manly Warringah",0,0,2015-09-06,"9","2014",0,0,0,0,0,0
"1893",0.424,0.576,"win","Wests Tigers","Cronulla",0,0,2015-09-06,"9","2014",0,0,0,0,0,0
"1894",0.46,0.54,"win","Gold Coast Titans","Canterbury",0,0,2015-09-07,"9","2014",0,0,0,0,0,0
"1895",0.406,0.594,"win","Newcastle","St George Illawarra",0,0,2015-09-07,"9","2014",0,0,0,0,0,0
"1896",0.447,0.553,"win","Penrith","Warriors",0,0,2015-09-07,"9","2014",0,0,0,0,0,0
"1897",0.39,0.61,"loose","Brisbane","South Sydney",0,0,2015-03-05,"3","2015",0,0,0,0,0,0
"1898",0.448,0.552,"win","Parramatta","Manly Warringah",0,0,2015-03-06,"3","2015",0,0,0,0,0,0
"1899",0.413,0.587,"loose","Gold Coast Titans","Wests Tigers",0,0,2015-03-07,"3","2015",0,0,0,0,0,0
"1900",0.401,0.599,"win","Newcastle","Warriors",0,0,2015-03-07,"3","2015",0,0,0,0,0,0
"1901",0.44,0.56,"loose","North Queensland","Sydney",0,0,2015-03-07,"3","2015",0,0,0,0,0,0
"1902",0.376,0.624,"loose","Cronulla","Canberra",0,0,2015-03-08,"3","2015",0,0,0,0,0,0
"1903",0.418,0.582,"win","Penrith","Canterbury",0,0,2015-03-08,"3","2015",0,0,0,0,0,0
"1904",0.41,0.59,"loose","St George Illawarra","Melbourne",0,0,2015-03-09,"3","2015",0,0,0,0,0,0
"1905",0.368,0.632,"win","Canterbury","Parramatta",0,0,2015-03-13,"3","2015",0,0,0,0,0,0
"1906",0.404,0.596,"loose","Cronulla","Brisbane",0,0,2015-03-13,"3","2015",0,0,0,0,0,0
"1907",0.417,0.583,"win","Manly Warringah","Melbourne",0,0,2015-03-14,"3","2015",0,0,0,0,0,0
"1908",0.407,0.593,"loose","North Queensland","Newcastle",0,0,2015-03-14,"3","2015",0,0,0,0,0,0
"1909",0.381,0.619,"win","Penrith","Gold Coast Titans",0,0,2015-03-14,"3","2015",0,0,0,0,0,0
"1910",0.376,0.624,"loose","Canberra","Warriors",0,0,2015-03-15,"3","2015",0,0,0,0,0,0
"1911",0.428,0.572,"win","South Sydney","Sydney",0,0,2015-03-15,"3","2015",0,0,0,0,0,0
"1912",0.396,0.604,"win","Wests Tigers","St George Illawarra",0,0,2015-03-16,"3","2015",0,0,0,0,0,0
"1913",0.353,0.647,"win","Brisbane","North Queensland",0,0,2015-03-20,"3","2015",0,0,0,0,0,0
"1914",0.412,0.588,"loose","Manly Warringah","Canterbury",0,0,2015-03-20,"3","2015",0,0,0,0,0,0
"1915",0.376,0.624,"loose","Canberra","St George Illawarra",0,0,2015-03-21,"3","2015",0,0,0,0,0,0
"1916",0.383,0.617,"win","Melbourne","Cronulla",0,0,2015-03-21,"3","2015",0,0,0,0,0,0
"1917",0.365,0.635,"win","Warriors","Parramatta",0,0,2015-03-21,"3","2015",0,0,0,0,0,0
"1918",0.389,0.611,"loose","Gold Coast Titans","Newcastle",0,0,2015-03-22,"3","2015",0,0,0,0,0,0
"1919",0.415,0.585,"win","South Sydney","Wests Tigers",0,0,2015-03-22,"3","2015",0,0,0,0,0,0
"1920",0.376,0.624,"win","Sydney","Penrith",0,0,2015-03-23,"3","2015",0,0,0,0,0,0
"1921",0.398,0.602,"win","Parramatta","South Sydney",0,0,2015-03-27,"3","2015",0,0,0,0,0,0
"1922",0.404,0.596,"loose","Wests Tigers","Canterbury",0,0,2015-03-27,"3","2015",0,0,0,0,0,0
